'CardName', 'Timespan', 'Edition', 'Current Price', 'Minimum in Epoch', 'Date of Epoch Min', 'Percent change Current Price from Epoch Min', 'Standard Dev'
Black Lotus,ONE_YEAR,LEA,34999.99,28000.0,2020-07-09 01:16:16,25.0,1510.234
Black Lotus,TWO_YEARS,LEA,34999.99,22000.0,2019-08-11 01:13:12,59.09,2412.255
Black Lotus,ALL_TIME,LEA,34999.99,5084.91,2013-12-11 18:00:00,588.31,9315.891
Black Lotus,ONE_MONTH,LEB,42000.0,42000.0,2021-06-09 01:14:50,0.0,0.0
Black Lotus,THREE_MONTHS,LEB,42000.0,42000.0,2021-04-10 01:15:30,0.0,0.0
Black Lotus,ONE_YEAR,LEB,42000.0,42000.0,2020-07-09 01:17:23,0.0,0.0
Black Lotus,TWO_YEARS,LEB,42000.0,23999.99,2019-07-10 01:13:38,75.0,4890.51
Black Lotus,ALL_TIME,LEB,42000.0,2812.48,2013-05-09 19:00:00,1393.34,14782.109
Black Lotus,ONE_MONTH,2ED,23500.0,22750.0,2021-06-16 01:15:44,3.3,381.733
Black Lotus,THREE_MONTHS,2ED,23500.0,22750.0,2021-05-01 01:14:35,3.3,830.148
Black Lotus,ONE_YEAR,2ED,23500.0,5699.99,2020-07-13 01:15:55,312.28,6610.8
Black Lotus,TWO_YEARS,2ED,23500.0,5699.99,2020-07-13 01:15:55,312.28,6752.796
Black Lotus,ALL_TIME,2ED,23500.0,1303.24,2012-06-22 19:00:00,1703.2,5689.867
Timetwister,TWO_YEARS,LEA,8999.99,8999.99,2019-10-31 02:15:27,0.0,2219.698
Timetwister,ALL_TIME,LEA,8999.99,699.99,2012-08-21 19:00:00,1185.73,1947.648
Timetwister,ONE_MONTH,LEB,49999.99,49999.99,2021-06-09 01:14:50,0.0,0.0
Timetwister,THREE_MONTHS,LEB,49999.99,14999.0,2021-05-09 01:14:24,233.36,11920.7
Timetwister,ONE_YEAR,LEB,49999.99,5599.99,2020-07-09 01:17:23,792.86,17294.182
Timetwister,TWO_YEARS,LEB,49999.99,2200.0,2019-09-01 01:18:12,2172.73,17408.114
Timetwister,ALL_TIME,LEB,49999.99,497.79,2012-06-12 19:00:00,9944.39,11020.862
Timetwister,ONE_MONTH,2ED,10750.0,10750.0,2021-06-16 01:15:44,0.0,1031.08
Timetwister,THREE_MONTHS,2ED,10750.0,9250.0,2021-05-25 01:14:25,16.22,951.896
Timetwister,ONE_YEAR,2ED,10750.0,2960.0,2020-07-09 01:16:52,263.18,3543.332
